Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,FBI Code,X Coordinate,Community Area,Y Coordinate,Year,Latitude,Updated On,Longitude,Location
HV527355,8853779,10/20/2012 19:15,013XX S CENTRAL PARK AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,TRUE,FALSE,1011,10,24,18,1152540,29,1893708,2012,41.86419432,10/24/2012 0:39,-87.71550712,"(41.86419432034548, -87.71550711637245)"
HV527419,8854657,10/20/2012 19:15,008XX N MICHIGAN AVE,870,THEFT,POCKET-PICKING,DEPARTMENT STORE,FALSE,FALSE,1833,18,42,6,1177298,8,1906202,2012,41.89795366,10/24/2012 0:39,-87.62424288,"(41.89795365999346, -87.62424288212506)"
HV527349,8853774,10/20/2012 19:15,008XX N LAVERGNE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1531,15,37,18,1142914,25,1904907,2012,41.89511042,10/24/2012 0:39,-87.75056511,"(41.89511042351487, -87.75056511108772)"
HV527462,8853941,10/20/2012 19:12,110XX S WALLACE ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,FALSE,FALSE,2233,22,34,24,1174229,49,1831816,2012,41.69389988,10/23/2012 0:45,-87.63772569,"(41.69389987615038, -87.63772569369621)"
HV527347,8853838,10/20/2012 19:08,065XX S INGLESIDE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,321,3,20,04B,1183636,42,1862043,2012,41.77663251,10/28/2012 0:39,-87.60234467,"(41.77663251365378, -87.60234467391057)"
HV527478,8853887,10/20/2012 19:00,077XX S EBERHART AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,624,6,6,08A,1180870,69,1853999,2012,41.75462302,10/24/2012 0:39,-87.61273165,"(41.754623019327454, -87.61273164780953)"
HV527463,8853865,10/20/2012 19:00,023XX W LOGAN BLVD,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,1432,14,1,6,1160430,22,1917838,2012,41.93024956,10/24/2012 0:39,-87.68587461,"(41.930249560228596, -87.68587461016092)"
HV527440,8853856,10/20/2012 19:00,013XX S MICHIGAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,132,1,2,26,1177471,33,1894385,2012,41.86552325,10/24/2012 0:39,-87.62396623,"(41.86552324627049, -87.62396623050462)"
HV527571,8853975,10/20/2012 19:00,009XX N LAWLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1531,15,37,14,1142482,25,1905671,2012,41.89721497,10/23/2012 0:45,-87.75213275,"(41.89721496962633, -87.75213274723698)"
HV527498,8853927,10/20/2012 19:00,009XX W LAWRENCE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1914,19,46,08B,1168988,3,1932022,2012,41.96898937,10/24/2012 0:39,-87.65401305,"(41.968989372048945, -87.65401305288472)"
HV527531,8854013,10/20/2012 19:00,009XX N HAMLIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1112,11,27,14,1150911,23,1906319,2012,41.89883228,10/23/2012 0:45,-87.72115694,"(41.8988322839274, -87.72115694067753)"
HV528592,8854766,10/20/2012 19:00,008XX W HUBBARD ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1323,13,27,6,1170717,24,1903317,2012,41.89018375,10/24/2012 0:39,-87.64849863,"(41.89018375278909, -87.64849863324513)"
HV528061,8854504,10/20/2012 19:00,023XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1034,10,25,14,1160689,31,1888639,2012,41.85011965,10/23/2012 0:45,-87.68573266,"(41.8501196477053, -87.68573266059626)"
HV528334,8854629,10/20/2012 19:00,008XX W HUBBARD ST,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,1323,13,27,6,1170717,24,1903317,2012,41.89018375,10/24/2012 0:39,-87.64849863,"(41.89018375278909, -87.64849863324513)"
HV528425,8854625,10/20/2012 19:00,052XX S LOTUS AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,814,8,23,6,1140950,56,1869538,2012,41.7980892,10/24/2012 0:39,-87.75864775,"(41.79808919723917, -87.75864774840589)"
